TIME     PID     COMM             AGE(s)  FILE
07:40:57 166377  containerd-shim  0.00    #1254
07:45:35 149211  systemd          6.57    invocation:cri-containerd-987c41
07:45:35 162123  containerd       0.00    #2939
07:45:35 161670  containerd       126.87  log
07:45:40 182642  containerd       103.50  rootfs
07:45:43 296993  dpkg             53.78   secrets.py.dpkg-tmp
07:45:50 296993  dpkg             7.08    0018
07:46:06 161840  containerd       43.05   4d1696b4b7515d5cd48152668047d7bc
07:46:06 162123  containerd       91.11   dceaf6e5b3fb975e3a9828cd23e1820b
07:46:07 307656  containerd-shim  0.00    #2e38
07:46:07 161840  containerd       0.31    log.json
07:46:07 162123  containerd       92.14   4c0e43ab9b0f16a54eab1053d9f2e0be
07:46:09 149211  systemd          2.26    cri-containerd-c5d9365bf1f24826f
07:46:29 142994  systemd          329.34  cri-containerd-33e3260b29c22b679
07:46:29 142994  systemd          329.07  50-DevicePolicy.conf
07:46:29 142994  systemd          329.07  50-DeviceAllow.conf
07:46:29 142994  systemd          329.07  50-CPUWeight.conf
07:46:29 315069  runc             329.06  state.json
07:46:29 148096  containerd       329.06  init.pid
07:46:29 148096  containerd       329.46  log.json
07:46:29 148096  containerd       330.80  runtime
07:46:29 148096  containerd       330.80  options.json
07:46:29 148096  containerd       330.80  shim-binary-path
07:46:29 148096  containerd       330.82  address
07:46:29 148096  containerd       330.98  config.json
07:46:31 182642  containerd       126.79  hosts
07:46:37 148096  containerd       129.26  rootfs
07:46:38 4035    containerd-shim  0.05    runc-process4172367448
07:46:43 162123  containerd       28.73   #2f74
07:46:44 162123  containerd       0.67    shim-binary-path
07:46:46 162123  containerd       36.64   #2fb5
07:46:55 148096  containerd       356.12  dev
07:46:56 161897  containerd       89.22   a713b6d46f24c05d3f00b68f28bfac90
07:46:56 161897  containerd       0.00    #303b
07:46:56 161897  containerd       0.00    #303d
07:47:11 148122  containerd       227.36  conntrack-tools
07:47:20 148122  containerd       24.55   sys
07:47:24 335011  kubectl          10.37   1962c28e6a1baad0603799c88e547aca
07:47:34 161897  containerd       163.15  ef4f971dbc64426a0114691a74e32396
07:47:35 162123  containerd       10.61   containerd-mount1593893242
07:47:35 162123  containerd       0.00    #3265
07:47:38 148096  containerd       396.18  work
07:47:40 148096  containerd       14.74   containerd-mount1037374013
07:47:40 148096  containerd       0.00    #3287
07:47:41 161840  containerd       94.21   a3af725131be6c72de615dea7146a0aa
07:47:47 162123  containerd       144.41  hosts
07:47:57 148122  containerd       391.93  resolv.conf
07:48:05 148096  containerd       190.31  hostname
07:48:05 148096  containerd       427.15  resolv.conf
07:48:05 148096  containerd       427.15  hosts
07:48:05 148096  containerd       427.15  hostname
07:48:06 150817  systemd-journal  0.03    8:1540588
07:48:06 148096  containerd       427.52  work
07:48:06 148096  containerd       426.10  resolv.conf
07:48:06 345774  kubectl          0.01    e278d67b5dc3dd4430d69d742fb144b9
07:48:06 345774  kubectl          0.01    e278d67b5dc3dd4430d69d742fb144b9
07:48:10 148096  containerd       31.32   runtime
07:48:27 349770  kubectl          0.01    e278d67b5dc3dd4430d69d742fb144b9
07:48:34 148096  containerd       87.63   options.json
